step,metric,value
491,train_mse,0.209623158
492,train_mse,0.2750314176
493,train_mse,0.2618796229
494,train_mse,0.2548912466
495,train_mse,0.2524707317
496,train_mse,0.2518843412
497,train_mse,0.274056375
498,train_mse,0.2648315132
499,train_mse,0.2693810165
500,train_mse,0.2347512841
500,loss_trend_ratio,0.6506651942
500,val_pred_std,0.2361057848
500,eval_r_s2_real_masked,0.882420123
